index,name,price,location,property_status,property_type,bedrooms,bathrooms,Pool,link
29,Paradera 225,RENTED,Paradera,,Residential,5,3,Pool,https://century21aruba.com//en/d/paradera-225-home-for-rent-aruba-1148744
31,Mesavista Tierra Del Sol Villa,RENTED,Westpunt,,Residential,4,4,Pool,https://century21aruba.com//en/d/mesavista-tierra-del-sol-villa-home-for-rent-aruba-1149186
34,Tanki Flip Property Land,"US$ 63,144",Tanki,New Listing,Residential,4,4,Inland,https://century21aruba.com//en/d/tanki-flip-property-land-for-sale-aruba-1149949
36,Modanza Homes & Gardens Property Land,"US$ 64,400",Tanki,New Listing,Residential,4,4,Inland,https://century21aruba.com//en/d/modanza-homes-gardens-property-land-for-sale-aruba-1149862
38,Tamarijn Homes And Gardens,"US$ 64,400",Tanki,,Residential,4,4,Inland,https://century21aruba.com//en/d/tamarijn-homes-and-gardens-land-for-sale-aruba-1145275
41,Napa Valley Residences Property Land,"US$ 99,600",Tanki,New Listing,Residential,4,4,Inland,https://century21aruba.com//en/d/napa-valley-residences-property-land-for-sale-aruba-1149861
43,Wayaca Property Land,"US$ 105,618",Wayaca,Back On Market,Residential,4,4,Other,https://century21aruba.com//en/d/wayaca-property-land-for-sale-aruba-1148092
45,Zumbo Property Land,"US$ 107,334",Cashero,New Listing,Residential,4,4,Inland,https://century21aruba.com//en/d/zumbo-property-land-for-sale-aruba-1149997
47,Emmastraat Property Land,SOLD,Ponton,,Residential,4,4,Inland,https://century21aruba.com//en/d/emmastraat-property-land-for-sale-aruba-1149481
49,Rooi Santo Land,"US$ 126,405",Rooi,Under Contract,Residential,4,4,Inland,https://century21aruba.com//en/d/rooi-santo-land-for-sale-aruba-1147517
51,Golfweg,"US$ 126,405",Rooi,,Residential,4,4,Inland,https://century21aruba.com//en/d/golfweg-land-for-sale-aruba-1149144
53,Paradera Property Land,"US$ 126,405",Rooi,,Residential,4,4,Inland,https://century21aruba.com//en/d/paradera-property-land-for-sale-aruba-1149163
55,Sabana Grandi Property Land,"US$ 126,405",Rooi,,Residential,4,4,Inland,https://century21aruba.com//en/d/sabana-grandi-property-land-for-sale-aruba-1146043
57,Noord Property Lot,"US$ 225,000",Palm,Motivated Seller,Residential,4,4,Island,https://century21aruba.com//en/d/noord-property-lot-land-for-sale-aruba-1147394
59,Seroe Pita Property Land,"US$ 241,264",Ayo,Pending Offers,Residential,4,4,Inland,https://century21aruba.com//en/d/seroe-pita-property-land-for-sale-aruba-1147747
61,Bona Vista Hills,"US$ 241,264",Ayo,,Residential,4,4,Inland,https://century21aruba.com//en/d/bona-vista-hills-land-for-sale-aruba-1146566
63,Luxemburgstraat,"US$ 241,264",Ayo,,Residential,4,4,Inland,https://century21aruba.com//en/d/luxemburgstraat-land-for-sale-aruba-1144854
66,Palma Real Condo,SOLD,Palm,,Residential,1,1,Pool,https://century21aruba.com//en/d/palma-real-condo-for-sale-aruba-1148698
68,Harbour House Studio,"US$ 270,000",Renaissance,Under Contract,Residential,1,1,Ocean,https://century21aruba.com//en/d/harbour-house-studio-condo-for-sale-aruba-1149804
70,Noord 51 - F,"US$ 289,000",Palm,Under Contract,Residential,2,2,Garden,https://century21aruba.com//en/d/noord-51-f-condo-for-sale-aruba-1148743
