name,location,property,price,bedrooms,bathrooms,Pool,link
Property in Noord lot D163,Noord,Under contract,96.725,0,0,,https://kw-aruba.com//listings/property-noord-d163
San Fuego property Lot 2,Santa Cruz,Under contract,91.040,0,0,,https://kw-aruba.com//listings/san-fuego-property
Property land Cumana,Oranjestad,Sold,78.500,0,0,,https://kw-aruba.com//listings/property-land-cumana
AVAILABLE AGAIN! Property land Plots Noord - Napa Valley,Noord,New Listing,72.510,0,0,,https://kw-aruba.com//listings/property-land-plots-noord-napa-valley
Jaburibari Residence #1,Paradera,Sold,66.729,0,0,,https://kw-aruba.com//listings/jaburibari-residence-1
Jaburibari Residence #2,Paradera,Sold,48.449,0,0,,https://kw-aruba.com//listings/jaburibari-residence-2
Boutique Hotel OceanZ,Malmok,,9.500.000,17,13,Yes,https://kw-aruba.com//listings/hotel-oceanz
Gray Door Apartments (Commercial Investment),Noord,Reduced in price,3.100.000,13,14,Yes,https://kw-aruba.com//listings/gray-door-apartments
Lux Villas by GG,Noord,,2.750.000,18,18,Yes,https://kw-aruba.com//listings/lux-villas-gg
Privada Villa Suites,Noord,New Listing,1.750.000,8,8,Yes,https://kw-aruba.com//listings/Privada-Villa-Suites
Island Yoga Building,Palm Beach,New Listing,1.450.000,0,5,No,https://kw-aruba.com//listings/IslandYoga
Tropical Boutique Hotel,Oranjestad,Sold,1.325.000,12,12,Yes,https://kw-aruba.com//listings/tropical-boutique-hotel
Salina Cerca villa and apartments,Noord,Under contract,995.000,7,6,Yes,https://kw-aruba.com//listings/salina-cerca-villa-and-apartments
Commercial Industrial Building,Oranjestad,,955.056,0,0,No,https://kw-aruba.com//listings/commercial-industrial-building
WILHELMINA STRAAT 102,Oranjestad,,955.000,0,0,,https://kw-aruba.com//listings/wilhelmina-straat-102
Koyari Boutique Apartments,Noord,Under contract,939.000,8,8,Yes,https://kw-aruba.com//listings/koyari-apartments
Cariñas apartments Palm Beach,Noord,,853.000,7,6,No,https://kw-aruba.com//listings/carinas-apartments-palm-beach
Monaco Vacation House,Oranjestad,,780.000,8,8,Yes,https://kw-aruba.com//listings/monaco-vacation-house
Beatrixstraat Apartment Complex,Oranjestad,,650.000,6,6,Yes,https://kw-aruba.com//listings/beatrixstraat-apartment-complex
Bubali 107 F,Noord,New Listing,499.900,8,7,No,https://kw-aruba.com//listings/bubali-107-f
"Office building ""The Vault""",Oranjestad,,449.438,0,1,,https://kw-aruba.com//listings/vault-2
Apartment Complex Bubali 79-D,Eagle Beach,Sold,389.000,8,6,No,https://kw-aruba.com//listings/apartment-complex-bubali-79-d-2
Concessielaan 8,Oranjestad,Reduced in price,235.955,0,4,,https://kw-aruba.com//listings/concessielaan-8
Tanki Flip Commercial Building,Noord,Price upon Request,upon,6,0,,https://kw-aruba.com//listings/tanki-flip-780m2-commercial-space
Esmeralda 34-E,Malmok,Rented,2.500,3,2,No,https://kw-aruba.com//listings/esmeralda-34-e
Paradera 117G,Paradera,New Listing,2.000,3,2,Yes,https://kw-aruba.com//listings/paradera-117g-2
Bushiri 90,Noord,Rented,2.000,3,2,No,https://kw-aruba.com//listings/bushiri-90
Casibari 86,Paradera,Rented,1.700,3,2,No,https://kw-aruba.com//listings/casibari-86
Esmeralda 34-D,Noord,Reduced in price,1.700,3,2,No,https://kw-aruba.com//listings/esmeralda-34-d
Papaya 9 Y,Paradera,Rented,1.658,3,1,Yes,https://kw-aruba.com//listings/papaya
BELGIESTRAAT35,Oranjestad,Rented,1.600,3,2,No,https://kw-aruba.com//listings/belgiestraat35
Villa Paraiso Noord,Noord,Rented,1.580,2,2,No,https://kw-aruba.com//listings/villa-paraiso-noord
Bubali Apartment #3,Eagle Beach,Rented,1.500,2,1,Yes,https://kw-aruba.com//listings/bubali-apartment-3
Vigia 28,Paradera,Rented,1.404,2,2,No,https://kw-aruba.com//listings/vigia-28
Fortheuvelstraat 49,San Nicolas,New Listing,1.404,3,2,No,https://kw-aruba.com//listings/fortheuvelstraat-49-2
Wayaca 420,Oranjestad,Rented,1.400,2,2,No,https://kw-aruba.com//listings/wayaca-420
Westpunt 50,Noord,Rented,1.264,2,1,No,https://kw-aruba.com//listings/westpunt50
Savaneta Residence,Savaneta,Rented,1.095,2,2,No,https://kw-aruba.com//listings/savaneta-residence
Paradera 3-Bedroom Home,Paradera,Rented,1.068,3,2,No,https://kw-aruba.com//listings/paradera-3-bedroom-home
Pos Chiquito Home Residence,Pos Chiquito,New Listing,1.011,0,0,,https://kw-aruba.com//listings/Pos Chiquito-home-residence
Dominicanessenstraat 23,Oranjestad,New Listing,899,1,1,No,https://kw-aruba.com//listings/dominicanessenstraat
Nune Apartment #1,Paradera,New Listing,843,1,1,No,https://kw-aruba.com//listings/nune-apartment-1-2
Salina Cerca Townhouse,Noord,Rented,2.400,3,2,Yes,https://kw-aruba.com//listings/salina-cerca-townhouse
Harbour House Studio 422S,Oranjestad,,2.150,0,1,Yes,https://kw-aruba.com//listings/harbour-house-studio-422s
Aruba Breeze Townhouse,Noord,Rented,2.000,2,2,Yes,https://kw-aruba.com//listings/aruba-breeze-townhouse
Gold Coast Villa,Noord,Rented,1.800,2,2,Yes,https://kw-aruba.com//listings/gold-coast-villa
Diamante 189H,Malmok,Rented,1.350,1,1,Yes,https://kw-aruba.com//listings/diamante-189h
Boutique Hotel OceanZ,Malmok,,9.500.000,17,13,Yes,https://kw-aruba.com//listings/hotel-oceanz
Gray Door Apartments (Commercial Investment),Noord,Reduced in price,3.100.000,13,14,Yes,https://kw-aruba.com//listings/gray-door-apartments
Lux Villas by GG,Noord,,2.750.000,18,18,Yes,https://kw-aruba.com//listings/lux-villas-gg
Privada Villa Suites,Noord,New Listing,1.750.000,8,8,Yes,https://kw-aruba.com//listings/Privada-Villa-Suites
Island Yoga Building,Palm Beach,New Listing,1.450.000,0,5,No,https://kw-aruba.com//listings/IslandYoga
Tropical Boutique Hotel,Oranjestad,Sold,1.325.000,12,12,Yes,https://kw-aruba.com//listings/tropical-boutique-hotel
Salina Cerca villa and apartments,Noord,Under contract,995.000,7,6,Yes,https://kw-aruba.com//listings/salina-cerca-villa-and-apartments
Commercial Industrial Building,Oranjestad,,955.056,0,0,No,https://kw-aruba.com//listings/commercial-industrial-building
WILHELMINA STRAAT 102,Oranjestad,,955.000,0,0,,https://kw-aruba.com//listings/wilhelmina-straat-102
Koyari Boutique Apartments,Noord,Under contract,939.000,8,8,Yes,https://kw-aruba.com//listings/koyari-apartments
Cariñas apartments Palm Beach,Noord,,853.000,7,6,No,https://kw-aruba.com//listings/carinas-apartments-palm-beach
Monaco Vacation House,Oranjestad,,780.000,8,8,Yes,https://kw-aruba.com//listings/monaco-vacation-house
Beatrixstraat Apartment Complex,Oranjestad,,650.000,6,6,Yes,https://kw-aruba.com//listings/beatrixstraat-apartment-complex
Bubali 107 F,Noord,New Listing,499.900,8,7,No,https://kw-aruba.com//listings/bubali-107-f
"Office building ""The Vault""",Oranjestad,,449.438,0,1,,https://kw-aruba.com//listings/vault-2
Apartment Complex Bubali 79-D,Eagle Beach,Sold,389.000,8,6,No,https://kw-aruba.com//listings/apartment-complex-bubali-79-d-2
Concessielaan 8,Oranjestad,Reduced in price,235.955,0,4,,https://kw-aruba.com//listings/concessielaan-8
Tanki Flip Commercial Building,Noord,Price upon Request,upon,6,0,,https://kw-aruba.com//listings/tanki-flip-780m2-commercial-space
